Country,Code,Continent,Region
Kazakhstan,KAZ,Asia,Central Asia
Kenya,KEN,Africa,Eastern Africa
Kiribati,KIR,Oceania,Micronesia
Kuwait,KWT,Asia,Western Asia
Kyrgyzstan,KGZ,Asia,Central Asia
Lao People's Democratic Republic,LAO,Asia,South-eastern Asia
Latvia,LVA,Europe,Northern Europe
Lebanon,LBN,Asia,Western Asia
Lesotho,LSO,Africa,Southern Africa
Liberia,LBR,Africa,Western Africa
Libya,LBY,Africa,Northern Africa
Liechtenstein,LIE,Europe,Western Europe
Lithuania,LTU,Europe,Northern Europe
Luxembourg,LUX,Europe,Western Europe
Madagascar,MDG,Africa,Eastern Africa
Malawi,MWI,Africa,Eastern Africa
Malaysia,MYS,Asia,South-eastern Asia
Maldives,MDV,Asia,Southern Asia
Mali,MLI,Africa,Western Africa
Malta,MLT,Europe,Southern Europe
Marshall Islands,MHL,Oceania,Micronesia
Martinique,MTQ,North America,Caribbean
Mauritania,MRT,Africa,Western Africa
Mauritius,MUS,Africa,Eastern Africa
Mayotte,MYT,Africa,Eastern Africa
Mexico,MEX,North America,Central America
Micronesia (Federated States of),FSM,Oceania,Micronesia
Monaco,MCO,Europe,Western Europe
Mongolia,MNG,Asia,Eastern Asia
Montenegro,MNE,Europe,Southern Europe
Montserrat,MSR,North America,Caribbean
Morocco,MAR,Africa,Northern Africa
Mozambique,MOZ,Africa,Eastern Africa
Myanmar,MMR,Asia,South-eastern Asia
Namibia,NAM,Africa,Southern Africa
Nauru,NRU,Oceania,Micronesia
Nepal,NPL,Asia,Southern Asia
Netherlands,NLD,Europe,Western Europe
New Caledonia,NCL,Oceania,Melanesia
New Zealand,NZL,Oceania,Australia and New Zealand
Nicaragua,NIC,North America,Central America
Niger,NER,Africa,Western Africa
Nigeria,NGA,Africa,Western Africa
Niue,NIU,Oceania,Polynesia
Norfolk Island,NFK,Oceania,Australia and New Zealand
North Macedonia,MKD,Europe,Southern Europe
Northern Mariana Islands,MNP,Oceania,Micronesia
Norway,NOR,Europe,Northern Europe
Oman,OMN,Asia,Western Asia
Pakistan,PAK,Asia,Southern Asia
Palau,PLW,Oceania,Micronesia
Panama,PAN,North America,Central America
Papua New Guinea,PNG,Oceania,Melanesia
Paraguay,PRY,South America,South America
Peru,PER,South America,South America
Philippines,PHL,Asia,South-eastern Asia
Pitcairn,PCN,Oceania,Polynesia
Poland,POL,Europe,Eastern Europe
Portugal,PRT,Europe,Southern Europe
Puerto Rico,PRI,North America,Caribbean
Qatar,QAT,Asia,Western Asia
South Korea,KOR,Asia,Eastern Asia
Republic of Moldova,MDA,Europe,Eastern Europe
Réunion,REU,Africa,Eastern Africa
Romania,ROU,Europe,Eastern Europe
Russian Federation,RUS,Europe,Eastern Europe
Rwanda,RWA,Africa,Eastern Africa
Saint Barthélemy,BLM,North America,Caribbean
Saint Helena,SHN,Africa,Western Africa
Saint Kitts and Nevis,KNA,North America,Caribbean
Saint Lucia,LCA,North America,Caribbean
Saint Martin (French Part),MAF,North America,Caribbean
Saint Pierre and Miquelon,SPM,North America,Northern America
Saint Vincent and the Grenadines,VCT,North America,Caribbean
Samoa,WSM,Oceania,Polynesia
San Marino,SMR,Europe,Southern Europe
Sao Tome and Principe,STP,Africa,Middle Africa
Sark,,Europe,Northern Europe
Saudi Arabia,SAU,Asia,Western Asia
Senegal,SEN,Africa,Western Africa
Serbia,SRB,Europe,Southern Europe
Seychelles,SYC,Africa,Eastern Africa
Sierra Leone,SLE,Africa,Western Africa
Singapore,SGP,Asia,South-eastern Asia
Sint Maarten (Dutch part),SXM,North America,Caribbean
Slovakia,SVK,Europe,Eastern Europe
Slovenia,SVN,Europe,Southern Europe
Solomon Islands,SLB,Oceania,Melanesia
Somalia,SOM,Africa,Eastern Africa
South Africa,ZAF,Africa,Southern Africa
South Georgia and the South Sandwich Islands,SGS,South America,South America
South Sudan,SSD,Africa,Eastern Africa
Spain,ESP,Europe,Southern Europe
Sri Lanka,LKA,Asia,Southern Asia
State of Palestine,PSE,Asia,Western Asia
Sudan,SDN,Africa,Northern Africa
Suriname,SUR,South America,South America
Svalbard and Jan Mayen Islands,SJM,Europe,Northern Europe
Sweden,SWE,Europe,Northern Europe
Switzerland,CHE,Europe,Western Europe
Syrian Arab Republic,SYR,Asia,Western Asia
Taiwan,TWN,Asia,Eastern Asia
Tajikistan,TJK,Asia,Central Asia
Thailand,THA,Asia,South-eastern Asia
Timor-Leste,TLS,Asia,South-eastern Asia
Togo,TGO,Africa,Western Africa
Tokelau,TKL,Oceania,Polynesia
Tonga,TON,Oceania,Polynesia
Trinidad and Tobago,TTO,North America,Caribbean
Tunisia,TUN,Africa,Northern Africa
Turkey,TUR,Asia,Western Asia
Turkmenistan,TKM,Asia,Central Asia
Turks and Caicos Islands,TCA,North America,Caribbean
Tuvalu,TUV,Oceania,Polynesia
Uganda,UGA,Africa,Eastern Africa
Ukraine,UKR,Europe,Eastern Europe
United Arab Emirates,ARE,Asia,Western Asia
United Kingdom,GBR,Europe,Northern Europe
United Republic of Tanzania,TZA,Africa,Eastern Africa
United States Minor Outlying Islands,UMI,Oceania,Micronesia
United States,USA,North America,Northern America
United States Virgin Islands,VIR,North America,Caribbean
Uruguay,URY,South America,South America
Uzbekistan,UZB,Asia,Central Asia
Vanuatu,VUT,Oceania,Melanesia
Venezuela (Bolivarian Republic of),VEN,South America,South America
Vietnam,VNM,Asia,South-eastern Asia
Wallis and Futuna Islands,WLF,Oceania,Polynesia
Western Sahara,ESH,Africa,Northern Africa
Yemen,YEM,Asia,Western Asia
Zambia,ZMB,Africa,Eastern Africa
Zimbabwe,ZWE,Africa,Eastern Africa
